fips,PST045213,PST040210,PST120213,POP010210,AGE135213,AGE295213,AGE775213,SEX255213,RHI125213,RHI225213,RHI325213,RHI425213,RHI525213,RHI625213,RHI725213,RHI825213,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010213,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010212,BZA110212,BZA115212,NES010212,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
13073,135416,124053,9.2,124053,6.5,26.4,11.3,51.1,75.9,16.5,0.4,4.2,0.2,2.8,5.9,71.2,85.9,7.0,9.9,91.0,34.7,13143,24.4,52087,78.9,7.7,171400,43785,2.83,30503,67295,8.0,2094,25858,-3.0,8526,10081,7.4,0.6,5.7,0.0,3.0,32.0,2411210,357458,1406298,12919,119074,1209,290.09,427.6
13075,17066,17212,-0.8,17212,6.8,26.4,14.6,51.4,70.0,27.7,0.4,0.8,0.1,1.1,5.9,64.7,78.0,3.8,6.7,74.3,11.9,1223,23.1,7189,70.7,4.1,91200,6430,2.62,19323,35983,22.7,286,2589,-2.7,976,1023,0.0,0.0,0.0,0.0,0.0,0.0,360662,51503,118054,7198,18080,28,227.16,75.8
13077,133180,127317,4.6,127317,6.4,26.2,12.0,51.1,77.8,18.0,0.4,1.8,0.1,1.9,6.8,72.1,84.2,5.7,8.6,87.4,26.1,11058,30.5,51006,73.7,11.6,175000,46316,2.73,26146,60675,11.8,2092,27385,4.8,9740,11408,0.0,0.0,3.7,0.0,3.1,32.0,2270118,524585,1290974,10852,146607,403,440.89,288.8
13079,12504,12630,-1.0,12630,5.0,21.3,15.9,49.3,76.1,21.4,0.6,0.4,0.1,1.4,3.0,73.7,90.3,0.3,2.7,76.5,12.6,1013,29.0,5216,80.8,2.7,89700,4692,2.68,19675,39403,21.5,107,547,17.4,793,560,0.0,0.0,0.0,0.0,0.0,34.1,0,0,18191,1451,1372,25,324.89,38.9
13081,23336,23439,-0.4,23439,6.9,24.9,15.3,52.3,53.8,43.6,0.3,1.0,0.1,1.1,3.3,51.1,87.8,1.5,4.2,75.6,13.7,1674,18.9,10666,59.6,17.3,98500,8874,2.59,17497,32320,31.2,508,6376,1.0,1819,1847,0.0,0.0,0.0,0.0,0.0,0.0,410798,0,326453,14719,39028,16,272.58,86.0
13083,16507,16633,-0.8,16633,5.1,20.0,16.1,50.7,95.8,1.4,0.6,0.9,0.1,1.2,2.1,94.0,88.7,2.0,1.9,81.5,16.9,1459,28.2,7228,78.4,6.6,118700,6463,2.39,21602,41677,16.4,216,2657,13.4,1113,1411,0.0,0.0,0.0,0.0,0.0,27.4,187845,0,189274,11687,15778,1,173.98,95.6
13085,22686,22339,1.6,22330,5.4,22.5,17.0,50.1,96.5,0.8,0.4,0.7,0.1,1.5,4.1,93.0,86.4,3.7,5.3,86.3,23.5,1995,32.7,10497,76.4,4.5,191200,8310,2.65,26615,53289,13.7,602,6323,-0.9,2054,3229,0.0,0.0,0.0,0.0,0.0,16.2,0,103913,466567,21598,49886,107,210.83,105.9
13087,27359,27842,-1.7,27842,6.8,25.1,15.0,51.3,55.9,41.4,0.8,0.7,0.1,1.1,5.6,51.8,87.5,2.9,3.6,78.4,13.9,1763,22.4,12064,62.1,13.8,105900,10498,2.53,18054,30061,28.9,587,6319,-1.2,1918,2725,29.0,1.3,0.0,0.0,2.0,28.0,1021401,0,395435,13854,24104,21,597.14,46.6
13089,713340,691890,3.1,691893,7.4,23.7,10.0,52.2,37.0,54.8,0.5,5.6,0.1,2.0,9.1,30.0,80.5,16.4,18.6,88.2,39.2,41408,30.6,305313,57.7,36.0,178000,264276,2.57,28760,51252,18.6,15881,252306,0.1,69904,73184,39.6,0.9,6.8,0.1,3.6,37.2,7489009,9361148,7973387,10867,1207713,673,267.58,2585.7
13091,21221,21797,-2.6,21796,6.3,21.6,14.7,47.5,68.1,29.9,0.4,0.5,0.2,1.0,3.6,65.5,90.8,2.6,4.5,78.7,14.0,1593,24.9,9710,69.9,6.9,67900,8198,2.35,17275,36042,19.2,337,3574,-2.4,1329,1447,0.0,0.0,0.0,0.0,0.0,0.0,199135,9821,167117,8452,12514,16,495.89,44.0
13093,14304,14918,-4.1,14918,5.0,20.0,15.2,45.9,48.2,49.9,0.2,0.7,0.1,0.9,6.8,42.7,87.4,3.9,4.1,72.5,9.7,1116,18.4,6206,68.7,10.2,66600,4994,2.53,15733,30789,28.6,164,2057,8.8,752,930,30.6,0.0,0.0,0.0,4.4,0.0,303771,61913,151362,13121,6625,0,391.94,38.1
13095,92969,94565,-1.7,94565,7.5,25.2,13.0,53.6,29.4,68.0,0.3,1.0,0.2,1.2,2.5,27.8,80.2,2.1,3.5,79.3,18.1,7335,17.7,40590,48.4,32.3,101900,35918,2.52,19140,31789,30.6,2368,39103,4.1,6566,6892,34.0,0.0,4.4,0.0,1.2,33.7,0,1175674,1543650,16198,170969,62,328.69,287.7
13097,136379,132315,3.1,132403,6.7,27.2,9.9,51.9,53.0,42.5,0.4,1.7,0.2,2.3,8.9,46.2,82.7,8.6,11.2,86.5,24.8,10859,32.1,51577,70.7,16.8,146900,45905,2.85,24115,54526,13.4,2407,32407,0.3,10738,11400,0.0,0.4,2.5,0.0,2.7,33.1,989859,929175,2055804,16536,212285,139,200.07,661.8
13099,10542,11004,-4.2,11008,6.7,24.9,18.0,53.2,48.7,49.5,0.5,0.5,0.0,0.8,2.0,47.1,90.4,0.6,1.4,77.1,12.1,817,21.6,4892,66.1,5.8,81600,4099,2.59,17945,29772,29.2,212,2730,3.4,646,961,0.0,0.0,0.0,0.0,0.0,0.0,832266,131927,75758,6416,6271,7,512.59,21.5
13101,4057,4034,0.6,4034,8.6,27.1,11.0,50.6,88.7,5.3,3.5,0.5,0.2,1.8,29.0,63.2,74.1,16.8,25.1,73.8,7.5,312,25.1,1520,69.8,1.8,92000,1333,3.02,15015,27933,36.3,21,121,63.5,190,177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,414.89,9.7
13103,54456,52250,4.2,52250,6.6,27.1,10.4,50.3,83.0,13.9,0.4,0.9,0.1,1.8,3.3,80.2,85.0,2.2,3.9,85.8,16.9,4802,29.4,20063,75.4,7.4,156900,17979,2.89,24943,62953,10.6,672,7128,0.6,3272,4492,6.5,0.0,0.0,0.0,0.0,25.9,0,63037,322581,6345,26103,260,477.70,109.4
13105,19599,20166,-2.8,20166,6.3,22.3,18.6,52.3,68.1,29.7,0.3,0.9,0.0,1.0,5.3,63.7,92.7,1.9,4.8,76.8,11.2,1382,21.4,9473,70.0,9.3,85100,7726,2.57,18536,35053,20.0,440,5027,3.6,1379,1650,0.0,0.0,0.0,0.0,0.0,0.0,515223,106277,136950,6644,14557,19,351.06,57.4
13107,22867,22598,1.2,22598,6.8,24.9,15.4,50.8,63.8,34.1,0.4,0.7,0.0,1.0,4.7,59.9,84.7,1.4,4.7,75.4,9.9,1426,24.4,9841,65.4,5.9,72700,8106,2.67,16294,31675,27.8,381,4978,1.8,1720,2163,0.0,0.0,0.0,0.0,0.0,31.0,448400,93384,184041,8160,14804,7,680.60,33.2
13109,10833,11001,-1.5,11000,7.3,26.2,14.6,51.0,65.9,30.9,0.6,1.1,0.3,1.2,11.9,56.7,84.7,7.6,13.4,76.4,13.7,710,20.5,4599,63.2,6.0,89600,4122,2.52,18588,36602,25.6,211,3791,0.5,687,940,0.0,0.0,0.0,0.0,0.0,36.3,354790,0,153912,13507,6395,23,182.85,60.2
13111,23760,23693,0.3,23682,4.4,18.0,24.6,51.2,97.2,0.7,0.4,0.4,0.0,1.2,1.9,95.5,88.0,1.0,2.6,78.9,15.4,2425,27.4,16396,79.9,4.8,163900,10040,2.33,19865,35446,20.1,550,4460,2.7,2687,3558,0.0,0.0,0.0,0.0,0.0,25.0,0,41794,293099,12995,29653,149,386.72,61.2
13113,108365,106567,1.7,106567,4.2,24.3,15.4,51.5,71.7,21.4,0.4,4.3,0.1,2.0,6.9,65.9,88.1,8.8,11.3,93.9,42.1,11771,30.3,40948,83.9,8.1,239500,37780,2.80,35743,81242,6.7,3166,37358,3.0,9573,12696,16.0,0.0,4.4,0.0,3.6,29.8,1744689,877241,1390039,13122,171207,192,194.34,548.3
13115,95821,96317,-0.5,96317,6.3,23.7,15.4,51.5,81.0,14.9,0.8,1.4,0.3,1.7,10.1,72.5,83.7,6.6,9.8,77.2,18.2,7253,21.9,40320,65.4,16.9,115000,34950,2.64,20769,41442,20.9,1944,32728,-0.2,6778,8145,0.0,0.0,3.3,0.0,0.0,28.6,3346076,636186,1039780,10932,144251,43,509.91,188.9
13117,195405,175511,11.3,175511,6.5,29.3,10.7,50.3,86.4,3.3,0.5,8.2,0.1,1.5,9.6,77.7,89.4,13.3,17.8,91.0,43.3,10022,29.4,68239,86.2,4.0,265900,56694,3.11,34742,87585,6.7,5393,61170,5.4,16980,19448,1.9,0.5,4.3,0.0,4.4,27.5,2318605,2503452,1960919,12382,183104,2273,224.02,783.5
